time,latitude,longitude,depth,ph
2025-02-15,57.00085,6.6664,0.5,8.01445902008993
2025-02-15,57.00085,6.6664,1.5,8.014348651792302
2025-02-15,57.00085,6.6664,2.5,8.014265244488856
2025-02-15,57.00085,6.6664,5.0,8.014101300326796
2025-02-15,57.00085,6.6664,7.5,8.013958834918924
2025-02-15,57.00085,6.6664,10.0,8.013811308385343
2025-02-15,57.00085,6.6664,12.5,8.013635278333487
2025-02-15,57.00085,6.6664,15.0,8.01341848560859
2025-02-15,57.00085,6.6664,20.0,8.013056155423994
2025-02-15,57.00085,6.6664,25.0,8.012738634615436
2025-02-15,57.00085,6.6664,30.0,8.012431954544764
2025-02-15,57.00085,6.6664,40.0,8.011982010448625
2025-02-15,57.00085,6.77751,0.5,8.011670656609457
2025-02-15,57.00085,6.77751,1.5,8.011558347675994
2025-02-15,57.00085,6.77751,2.5,8.011476693401198
2025-02-15,57.00085,6.77751,5.0,8.01132003761047
2025-02-15,57.00085,6.77751,7.5,8.011185734981579
2025-02-15,57.00085,6.77751,10.0,8.011058541350636
2025-02-15,57.00085,6.77751,12.5,8.010922683268843
2025-02-15,57.00085,6.77751,15.0,8.010774969299582
2025-02-15,57.00085,6.77751,20.0,8.010542438762464
2025-02-15,57.00085,6.77751,25.0,8.010383413597681
2025-02-15,57.00085,6.77751,30.0,8.01024339059035
2025-02-15,57.00085,6.77751,40.0,8.009864418403705
2025-02-15,57.00085,6.88862,0.5,8.010974509160985
2025-02-15,57.00085,6.88862,1.5,8.010863770155659
2025-02-15,57.00085,6.88862,2.5,8.010785318573248
2025-02-15,57.00085,6.88862,5.0,8.010637905075905
2025-02-15,57.00085,6.88862,7.5,8.010516565700101
2025-02-15,57.00085,6.88862,10.0,8.010406003578169
2025-02-15,57.00085,6.88862,12.5,8.010298433306856
2025-02-15,57.00085,6.88862,15.0,8.01019244898841
2025-02-15,57.00085,6.88862,20.0,8.009991453481005
2025-02-15,57.00085,6.88862,25.0,8.009826364622311
2025-02-15,57.00085,6.88862,30.0,8.009652042745596
2025-02-15,57.00085,6.99973,0.5,8.008436557522293
2025-02-15,57.00085,6.99973,1.5,8.00832365955231
2025-02-15,57.00085,6.99973,2.5,8.008245618338206
2025-02-15,57.00085,6.99973,5.0,8.008095227938085
2025-02-15,57.00085,6.99973,7.5,8.007971386619074
2025-02-15,57.00085,6.99973,10.0,8.007858875853643
2025-02-15,57.00085,6.99973,12.5,8.007750415695135
2025-02-15,57.00085,6.99973,15.0,8.007643898892812
2025-02-15,57.00085,6.99973,20.0,8.0074338410105
2025-02-15,57.00085,6.99973,25.0,8.007220734178572
2025-02-15,57.00085,6.99973,30.0,8.006990458754908
2025-02-15,57.00085,7.11084,0.5,8.006487710533778
2025-02-15,57.00085,7.11084,1.5,8.00637613309092
2025-02-15,57.00085,7.11084,2.5,8.00629635634547
2025-02-15,57.00085,7.11084,5.0,8.006144811777348
2025-02-15,57.00085,7.11084,7.5,8.006017576618342
2025-02-15,57.00085,7.11084,10.0,8.005900538888321
2025-02-15,57.00085,7.11084,12.5,8.005786844060502
2025-02-15,57.00085,7.11084,15.0,8.00567467754227
2025-02-15,57.00085,7.11084,20.0,8.00545419760684
2025-02-15,57.00085,7.11084,25.0,8.005233082023942
2025-02-15,57.00085,7.22195,0.5,8.001290686844715
2025-02-15,57.00085,7.22195,1.5,8.001181158437236
2025-02-15,57.00085,7.22195,2.5,8.001099833483634
2025-02-15,57.00085,7.22195,5.0,8.000943719465473
2025-02-15,57.00085,7.22195,7.5,8.000814810332363
2025-02-15,57.00085,7.22195,10.0,8.000697005215372
2025-02-15,57.00085,7.22195,12.5,8.000583035550417
2025-02-15,57.00085,7.22195,15.0,8.000472420311873
2025-02-15,57.00085,7.22195,20.0,8.000255414599273
2025-02-15,57.00085,7.22195,25.0,8.000037428635586
2025-02-15,57.00085,7.22195,30.0,7.999814671945696
2025-02-15,57.00085,7.33306,0.5,8.001128588510097
2025-02-15,57.00085,7.33306,1.5,8.001020450769563
2025-02-15,57.00085,7.33306,2.5,8.000939287596536
2025-02-15,57.00085,7.33306,5.0,8.000781987821933
2025-02-15,57.00085,7.33306,7.5,8.000652165014408
2025-02-15,57.00085,7.33306,10.0,8.000531571681629
2025-02-15,57.00085,7.33306,12.5,8.000416301711002
2025-02-15,57.00085,7.33306,15.0,8.000302826719304
2025-02-15,57.00085,7.33306,20.0,8.000080476233022
2025-02-15,57.00085,7.33306,25.0,7.999858075814314
2025-02-15,57.00085,7.33306,30.0,7.999625096673469
2025-02-15,57.00085,7.44417,0.5,7.999885474831306
2025-02-15,57.00085,7.44417,1.5,7.999777107907361
2025-02-15,57.00085,7.44417,2.5,7.999696719204641
2025-02-15,57.00085,7.44417,5.0,7.999538332685641
2025-02-15,57.00085,7.44417,7.5,7.999406391840316
2025-02-15,57.00085,7.44417,10.0,7.99928540870545
2025-02-15,57.00085,7.44417,12.5,7.999169065407857
2025-02-15,57.00085,7.44417,15.0,7.99905624313994
2025-02-15,57.00085,7.44417,20.0,7.998834522752102
2025-02-15,57.00085,7.44417,25.0,7.998614442100987
2025-02-15,57.00085,7.44417,30.0,7.998378199120774
2025-02-15,57.00085,7.55528,0.5,8.002110077028494
2025-02-15,57.00085,7.55528,1.5,8.002001725907135
2025-02-15,57.00085,7.55528,2.5,8.001924478509032
2025-02-15,57.00085,7.55528,5.0,8.001775743020438
2025-02-15,57.00085,7.55528,7.5,8.001652414971215
2025-02-15,57.00085,7.55528,10.0,8.001538278671397
2025-02-15,57.00085,7.55528,12.5,8.001429108585434
2025-02-15,57.00085,7.55528,15.0,8.001323632397678
2025-02-15,57.00085,7.55528,20.0,8.001111586464523
2025-02-15,57.00085,7.66639,0.5,8.001241583592826
2025-02-15,57.00085,7.66639,1.5,8.001136312475332
2025-02-15,57.00085,7.66639,2.5,8.001062886750407
2025-02-15,57.00085,7.66639,5.0,8.000919388919437
2025-02-15,57.00085,7.66639,7.5,8.000813499077255
2025-02-15,57.00085,7.66639,10.0,8.000873482514473
2025-02-15,57.00085,7.66639,12.5,8.000821455766715
2025-02-15,57.00085,7.66639,15.0,8.000732073155707
2025-02-15,57.00085,7.66639,20.0,8.000522603642711
2025-02-15,57.00085,7.7775,0.5,8.000365606718082
2025-02-15,57.00085,7.7775,1.5,8.000274185345353
2025-02-15,57.00085,7.7775,2.5,8.000215550296543
2025-02-15,57.00085,7.7775,5.0,8.000115031063133
2025-02-15,57.00085,7.7775,7.5,8.000123753311152
2025-02-15,57.00085,7.7775,10.0,8.000528807689598
2025-02-15,57.00085,7.7775,12.5,8.000895440641829
2025-02-15,57.00085,7.7775,15.0,8.00096932003706
2025-02-15,57.00085,7.7775,20.0,8.00084562610159
2025-02-15,57.00085,7.7775,25.0,8.000730122736893
2025-02-15,57.00085,7.7775,30.0,8.000553644159671
2025-02-15,57.00085,7.88861,0.5,7.994623970943397
2025-02-15,57.00085,7.88861,1.5,7.994526074821781
2025-02-15,57.00085,7.88861,2.5,7.994457133191041
2025-02-15,57.00085,7.88861,5.0,7.99428802007451
2025-02-15,57.00085,7.88861,7.5,7.994053047158232
2025-02-15,57.00085,7.88861,10.0,7.993901358033584
2025-02-15,57.00085,7.88861,12.5,7.996313081277401
2025-02-15,57.00085,7.88861,15.0,7.997049419457318
2025-02-15,57.00085,7.88861,20.0,7.9971030997618975
2025-02-15,57.00085,7.88861,25.0,7.997549328694661
2025-02-15,57.00085,7.88861,30.0,7.997717283926487
2025-02-15,57.00085,7.99972,0.5,7.984365648191857
2025-02-15,57.00085,7.99972,1.5,7.984271776902949
2025-02-15,57.00085,7.99972,2.5,7.98418741105605
2025-02-15,57.00085,7.99972,5.0,7.98568741717888
2025-02-15,57.00085,7.99972,7.5,7.990620026629689
2025-02-15,57.00085,7.99972,10.0,7.992577966295865
2025-02-15,57.00085,7.99972,12.5,7.987796690992389
2025-02-15,57.00085,7.99972,15.0,7.986273518603815
2025-02-15,57.00085,7.99972,20.0,7.986276954111436
2025-02-15,57.00085,7.99972,25.0,7.986864510140088
2025-02-15,57.00085,8.11083,0.5,7.980324081304031
2025-02-15,57.00085,8.11083,1.5,7.980180343312749
2025-02-15,57.00085,8.11083,2.5,7.979966665072561
2025-02-15,57.00085,8.11083,5.0,7.9774430132262015
2025-02-15,57.00085,8.11083,7.5,7.969032251832155
2025-02-15,57.00085,8.11083,10.0,7.966789773926052
2025-02-15,57.00085,8.11083,12.5,7.966671261510552
2025-02-15,57.00085,8.11083,15.0,7.961801976451379
2025-02-15,57.00085,8.11083,20.0,7.960114378015385
2025-02-15,57.00085,8.22194,0.5,8.022845524642355
2025-02-15,57.00085,8.22194,1.5,8.022744813159843
2025-02-15,57.00085,8.22194,2.5,8.022596344678286
2025-02-15,57.00085,8.22194,5.0,8.021883802898516
2025-02-15,57.00085,8.22194,7.5,8.01741071344626
2025-02-15,57.00085,8.22194,10.0,8.013554232954974
2025-02-15,57.00085,8.22194,12.5,8.011162832470593
2025-02-15,57.00085,8.22194,15.0,8.009335362662181
2025-02-15,57.00085,8.22194,20.0,8.00844874747371
